aalib 1.4rc5-18
openssl 3.2.1-1
openucx 1.15.0-2
optipng 0.7.8-1
opus 1.5.2-1
orc 0.4.38-1
os-prober 1.81-1
osinfo-db 20231215-1
otis-theme-git r130.d5cb442-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-contrib 1.10.5-1
pacman-mirrorlist 20231001-1
pahole 1:1.26-1
pam 1.6.1-2
pambase 20230918-1
pandoc-cli 0.1.1.1-95
pango 1:1.52.2-1
pangomm 2.46.4-1
papirus-icon-theme 20240201-1
parted 3.6-1
paru 2.0.3-1
paru-debug 2.0.3-1
patch 2.7.6-10
pciutils 3.12.0-1
pcre 8.45-4
pcre2 10.43-3
pcsclite 2.1.0-2
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.3.0-1
pipewire 1:1.0.5-1
pixman 0.43.4-1
pkgconf 2.1.1-1
playerctl 2.4.1-3
plocate 1.1.22-1
pngcheck 3.0.3-3
pnpm 8.15.2-2
polkit 124-2
polkit-gnome 0.105-10
polkit-qt6 0.200.0-1
poppler 24.03.0-1
poppler-data 0.4.12-1
poppler-glib 24.03.0-1
popt 1.19-1
